ต้นทาง,ปลายทาง,วันที่,ช่วงเวลา,เทศกาล,ระยะเวลาเดินทาง (นาที)
สนามบินดอนเมือง,ศูนย์ราชการแจ้งวัฒนะ,2009-07-08,06:00-09:00,ปีใหม่,106.0
สถานีหัวลำโพง,อนุสาวรีย์ชัยสมรภูมิ,2009-07-21,11:00-13:00,ปีใหม่,117.0
อนุสาวรีย์ชัยสมรภูมิ,ศูนย์ราชการแจ้งวัฒนะ,2007-09-28,17:00-20:00,ปีใหม่,69.0
สถานีหัวลำโพง,สถานีขนส่งเอกมัย,2020-07-03,17:00-20:00,ปีใหม่,78.0
สนามบินดอนเมือง,สถานีขนส่งหมอชิต,2019-12-27,06:00-09:00,วันธรรมดา,15.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งเอกมัย,1999-03-26,06:00-09:00,ปิดเทอม,30.0
สยามพารากอน,ตลาดนัดจตุจักร,2022-03-30,11:00-13:00,เปิดเทอม,34.0
เซ็นทรัลเวิลด์,อนุสาวรีย์ชัยสมรภูมิ,2018-01-07,17:00-20:00,ลอยกระทง,54.0
สนามบินสุวรรณภูมิ,เซ็นทรัลเวิลด์,2022-12-01,06:00-09:00,วันธรรมดา,60.0
เซ็นทรัลเวิลด์,สถานีขนส่งเอกมัย,2001-04-06,06:00-09:00,ลอยกระทง,57.0
ตลาดนัดจตุจักร,สถานีขนส่งเอกมัย,2013-10-23,11:00-13:00,สงกรานต์,120.0
สนามบินสุวรรณภูมิ,เซ็นทรัลเวิลด์,2006-06-16,06:00-09:00,สงกรานต์,80.0
สถานีขนส่งหมอชิต,สยามพารากอน,2015-08-19,06:00-09:00,ลอยกระทง,16.0
สถานีขนส่งเอกมัย,สถานีหัวลำโพง,2005-07-29,17:00-20:00,วันหยุดนักขัตฤกษ์,34.0
สถานีหัวลำโพง,สถานีขนส่งเอกมัย,2015-08-25,17:00-20:00,สงกรานต์,70.0
ตลาดนัดจตุจักร,เซ็นทรัลเวิลด์,2007-02-23,17:00-20:00,ปีใหม่,90.0
ตลาดนัดจตุจักร,เซ็นทรัลเวิลด์,2001-01-17,06:00-09:00,สงกรานต์,65.0
ตลาดนัดจตุจักร,สนามบินดอนเมือง,2024-03-10,11:00-13:00,เปิดเทอม,50.0
สยามพารากอน,ตลาดนัดจตุจักร,2001-09-23,06:00-09:00,ลอยกระทง,29.0
อนุสาวรีย์ชัยสมรภูมิ,สนามบินสุวรรณภูมิ,2020-03-10,11:00-13:00,เปิดเทอม,53.0
ตลาดนัดจตุจักร,สยามพารากอน,2001-10-25,06:00-09:00,เปิดเทอม,61.0
สถานีหัวลำโพง,สถานีขนส่งเอกมัย,2006-06-13,06:00-09:00,ลอยกระทง,48.0
ศูนย์ราชการแจ้งวัฒนะ,อนุสาวรีย์ชัยสมรภูมิ,2023-04-07,11:00-13:00,สงกรานต์,75.0
สนามบินดอนเมือง,เซ็นทรัลเวิลด์,2009-01-07,11:00-13:00,ปิดเทอม,38.0
อนุสาวรีย์ชัยสมรภูมิ,ตลาดนัดจตุจักร,2010-07-28,17:00-20:00,สงกรานต์,62.0
ตลาดนัดจตุจักร,อนุสาวรีย์ชัยสมรภูมิ,2002-08-11,17:00-20:00,สงกรานต์,94.0
ตลาดนัดจตุจักร,สยามพารากอน,2023-01-03,17:00-20:00,วันธรรมดา,52.0
สถานีขนส่งเอกมัย,สนามบินดอนเมือง,2009-10-17,11:00-13:00,เปิดเทอม,60.0
ศูนย์ราชการแจ้งวัฒนะ,เซ็นทรัลเวิลด์,2018-08-06,06:00-09:00,ลอยกระทง,65.0
เซ็นทรัลเวิลด์,ศูนย์ราชการแจ้งวัฒนะ,2012-01-27,06:00-09:00,ลอยกระทง,36.0
เซ็นทรัลเวิลด์,อนุสาวรีย์ชัยสมรภูมิ,2009-02-21,06:00-09:00,ลอยกระทง,80.0
อนุสาวรีย์ชัยสมรภูมิ,สยามพารากอน,2012-03-16,17:00-20:00,ลอยกระทง,36.0
สนามบินดอนเมือง,สนามบินสุวรรณภูมิ,2024-05-14,11:00-13:00,ปีใหม่,69.0
เซ็นทรัลเวิลด์,ตลาดนัดจตุจักร,2011-11-27,06:00-09:00,เปิดเทอม,67.0
สยามพารากอน,เซ็นทรัลเวิลด์,2024-12-03,17:00-20:00,ลอยกระทง,54.0
ตลาดนัดจตุจักร,สถานีขนส่งเอกมัย,2008-10-02,11:00-13:00,ปีใหม่,81.0
อนุสาวรีย์ชัยสมรภูมิ,ตลาดนัดจตุจักร,2020-04-18,17:00-20:00,ลอยกระทง,64.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีขนส่งเอกมัย,2021-03-04,11:00-13:00,ปิดเทอม,33.0
สถานีขนส่งเอกมัย,สถานีขนส่งหมอชิต,2005-02-28,06:00-09:00,เปิดเทอม,107.0
ตลาดนัดจตุจักร,สถานีหัวลำโพง,2004-04-06,06:00-09:00,สงกรานต์,137.0
สถานีขนส่งเอกมัย,เซ็นทรัลเวิลด์,2017-05-14,06:00-09:00,สงกรานต์,108.0
สถานีขนส่งหมอชิต,ตลาดนัดจตุจักร,2017-12-11,17:00-20:00,ปิดเทอม,41.0
อนุสาวรีย์ชัยสมรภูมิ,ตลาดนัดจตุจักร,2014-08-12,17:00-20:00,ปีใหม่,126.0
สนามบินดอนเมือง,ตลาดนัดจตุจักร,2023-05-05,11:00-13:00,วันหยุดนักขัตฤกษ์,25.0
สนามบินสุวรรณภูมิ,สยามพารากอน,1999-06-30,11:00-13:00,วันหยุดนักขัตฤกษ์,38.0
สถานีขนส่งหมอชิต,สถานีขนส่งเอกมัย,2018-04-30,17:00-20:00,ลอยกระทง,64.0
สนามบินสุวรรณภูมิ,สถานีขนส่งเอกมัย,2013-08-31,17:00-20:00,สงกรานต์,79.0
ศูนย์ราชการแจ้งวัฒนะ,อนุสาวรีย์ชัยสมรภูมิ,2016-05-11,06:00-09:00,ปิดเทอม,47.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีขนส่งเอกมัย,2015-10-20,17:00-20:00,เปิดเทอม,27.0
ศูนย์ราชการแจ้งวัฒนะ,สนามบินดอนเมือง,2012-06-18,17:00-20:00,ลอยกระทง,36.0
สยามพารากอน,ตลาดนัดจตุจักร,2004-11-12,06:00-09:00,วันหยุดนักขัตฤกษ์,53.0
สถานีขนส่งหมอชิต,สยามพารากอน,2011-10-29,17:00-20:00,เปิดเทอม,32.0
สถานีหัวลำโพง,สถานีขนส่งหมอชิต,2015-12-06,11:00-13:00,สงกรานต์,117.0
ตลาดนัดจตุจักร,สถานีหัวลำโพง,2018-04-18,11:00-13:00,สงกรานต์,121.0
เซ็นทรัลเวิลด์,ศูนย์ราชการแจ้งวัฒนะ,2017-10-09,06:00-09:00,วันหยุดนักขัตฤกษ์,64.0
ศูนย์ราชการแจ้งวัฒนะ,สยามพารากอน,2016-05-01,11:00-13:00,ปีใหม่,97.0
ศูนย์ราชการแจ้งวัฒนะ,อนุสาวรีย์ชัยสมรภูมิ,2003-12-17,17:00-20:00,เปิดเทอม,39.0
สถานีขนส่งเอกมัย,สนามบินสุวรรณภูมิ,2007-01-01,06:00-09:00,เปิดเทอม,64.0
สถานีขนส่งหมอชิต,สนามบินสุวรรณภูมิ,2007-07-05,11:00-13:00,วันหยุดนักขัตฤกษ์,50.0
อนุสาวรีย์ชัยสมรภูมิ,ตลาดนัดจตุจักร,2023-06-01,17:00-20:00,ปิดเทอม,52.0
สนามบินสุวรรณภูมิ,สถานีหัวลำโพง,2003-08-18,11:00-13:00,ปิดเทอม,38.0
ศูนย์ราชการแจ้งวัฒนะ,ตลาดนัดจตุจักร,2008-06-29,06:00-09:00,ลอยกระทง,14.0
สถานีหัวลำโพง,อนุสาวรีย์ชัยสมรภูมิ,1999-06-01,17:00-20:00,วันธรรมดา,59.0
สนามบินดอนเมือง,อนุสาวรีย์ชัยสมรภูมิ,2015-10-21,06:00-09:00,ลอยกระทง,60.0
สถานีขนส่งเอกมัย,สถานีหัวลำโพง,2021-11-10,06:00-09:00,ปีใหม่,99.0
สนามบินสุวรรณภูมิ,สยามพารากอน,2011-09-16,11:00-13:00,สงกรานต์,82.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2013-12-29,06:00-09:00,ปิดเทอม,35.0
สยามพารากอน,สนามบินดอนเมือง,2016-12-06,17:00-20:00,ปิดเทอม,31.0
สนามบินดอนเมือง,สยามพารากอน,2019-08-31,11:00-13:00,สงกรานต์,122.0
อนุสาวรีย์ชัยสมรภูมิ,สนามบินสุวรรณภูมิ,2017-12-05,17:00-20:00,ปีใหม่,89.0
เซ็นทรัลเวิลด์,อนุสาวรีย์ชัยสมรภูมิ,2000-02-01,06:00-09:00,ปีใหม่,61.0
สถานีขนส่งหมอชิต,ศูนย์ราชการแจ้งวัฒนะ,2015-07-31,17:00-20:00,ปีใหม่,67.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีหัวลำโพง,2017-09-08,11:00-13:00,เปิดเทอม,40.0
สถานีขนส่งเอกมัย,เซ็นทรัลเวิลด์,2002-12-09,11:00-13:00,ปีใหม่,131.0
สนามบินสุวรรณภูมิ,ศูนย์ราชการแจ้งวัฒนะ,2011-10-28,06:00-09:00,วันธรรมดา,51.0
ศูนย์ราชการแจ้งวัฒนะ,สนามบินสุวรรณภูมิ,2015-10-16,17:00-20:00,วันหยุดนักขัตฤกษ์,46.0
สถานีหัวลำโพง,สนามบินดอนเมือง,2008-08-02,17:00-20:00,เปิดเทอม,62.0
สถานีหัวลำโพง,สถานีขนส่งเอกมัย,2006-12-06,06:00-09:00,ปีใหม่,81.0
สนามบินดอนเมือง,สถานีขนส่งหมอชิต,2002-03-14,06:00-09:00,ปิดเทอม,33.0
ตลาดนัดจตุจักร,สถานีหัวลำโพง,2020-07-12,17:00-20:00,ปีใหม่,83.0
สถานีขนส่งเอกมัย,สถานีขนส่งหมอชิต,2012-09-12,11:00-13:00,เปิดเทอม,49.0
ตลาดนัดจตุจักร,สถานีหัวลำโพง,2017-09-14,11:00-13:00,เปิดเทอม,28.0
สยามพารากอน,เซ็นทรัลเวิลด์,2000-09-27,17:00-20:00,วันธรรมดา,53.0
สถานีขนส่งเอกมัย,สนามบินดอนเมือง,2021-01-28,17:00-20:00,วันหยุดนักขัตฤกษ์,53.0
สถานีขนส่งเอกมัย,ศูนย์ราชการแจ้งวัฒนะ,2007-11-18,17:00-20:00,สงกรานต์,77.0
สถานีขนส่งหมอชิต,สถานีขนส่งเอกมัย,2012-12-17,17:00-20:00,สงกรานต์,60.0
สถานีขนส่งหมอชิต,สถานีหัวลำโพง,2015-06-21,17:00-20:00,ลอยกระทง,31.0
สถานีขนส่งเอกมัย,สถานีขนส่งหมอชิต,2019-10-17,17:00-20:00,ปีใหม่,117.0
เซ็นทรัลเวิลด์,สถานีขนส่งหมอชิต,2021-04-19,11:00-13:00,วันธรรมดา,57.0
สถานีขนส่งเอกมัย,เซ็นทรัลเวิลด์,2005-12-07,17:00-20:00,สงกรานต์,97.0
สยามพารากอน,สถานีหัวลำโพง,2017-12-07,11:00-13:00,สงกรานต์,68.0
สนามบินสุวรรณภูมิ,สถานีขนส่งเอกมัย,2010-05-17,17:00-20:00,ปีใหม่,44.0
สถานีขนส่งเอกมัย,สยามพารากอน,2006-10-16,11:00-13:00,สงกรานต์,124.0
สยามพารากอน,ตลาดนัดจตุจักร,2005-04-06,17:00-20:00,ปิดเทอม,39.0
ตลาดนัดจตุจักร,สยามพารากอน,2014-02-16,11:00-13:00,ปีใหม่,104.0
สนามบินสุวรรณภูมิ,สยามพารากอน,2004-01-24,11:00-13:00,เปิดเทอม,33.0
สนามบินสุวรรณภูมิ,ศูนย์ราชการแจ้งวัฒนะ,2000-01-24,11:00-13:00,ลอยกระทง,59.0
สนามบินดอนเมือง,ตลาดนัดจตุจักร,2017-12-20,11:00-13:00,ปิดเทอม,48.0
สนามบินสุวรรณภูมิ,สถานีหัวลำโพง,2014-06-30,06:00-09:00,เปิดเทอม,52.0
สนามบินสุวรรณภูมิ,เซ็นทรัลเวิลด์,2023-02-15,06:00-09:00,ปิดเทอม,63.0
เซ็นทรัลเวิลด์,ตลาดนัดจตุจักร,2008-04-16,06:00-09:00,ปีใหม่,111.0
สนามบินดอนเมือง,ศูนย์ราชการแจ้งวัฒนะ,2007-06-23,17:00-20:00,วันธรรมดา,28.0
ศูนย์ราชการแจ้งวัฒนะ,สยามพารากอน,2000-11-15,06:00-09:00,วันหยุดนักขัตฤกษ์,37.0
ตลาดนัดจตุจักร,สถานีขนส่งหมอชิต,2003-03-10,17:00-20:00,สงกรานต์,100.0
สถานีหัวลำโพง,ศูนย์ราชการแจ้งวัฒนะ,2013-01-13,11:00-13:00,วันหยุดนักขัตฤกษ์,44.0
สยามพารากอน,สถานีหัวลำโพง,2011-04-27,06:00-09:00,วันธรรมดา,52.0
สนามบินดอนเมือง,อนุสาวรีย์ชัยสมรภูมิ,1999-03-05,17:00-20:00,สงกรานต์,112.0
สถานีขนส่งเอกมัย,เซ็นทรัลเวิลด์,2014-10-07,11:00-13:00,วันธรรมดา,41.0
สถานีขนส่งหมอชิต,อนุสาวรีย์ชัยสมรภูมิ,2007-08-11,11:00-13:00,สงกรานต์,133.0
สนามบินดอนเมือง,สยามพารากอน,2001-12-01,17:00-20:00,วันธรรมดา,46.0
ศูนย์ราชการแจ้งวัฒนะ,เซ็นทรัลเวิลด์,2014-04-22,11:00-13:00,ปีใหม่,98.0
สถานีขนส่งหมอชิต,สถานีหัวลำโพง,2002-07-08,06:00-09:00,วันธรรมดา,41.0
ตลาดนัดจตุจักร,สนามบินดอนเมือง,2010-01-03,06:00-09:00,วันธรรมดา,61.0
สถานีขนส่งหมอชิต,สนามบินสุวรรณภูมิ,2021-02-21,11:00-13:00,ลอยกระทง,19.0
สนามบินสุวรรณภูมิ,อนุสาวรีย์ชัยสมรภูมิ,2012-03-18,11:00-13:00,สงกรานต์,117.0
สถานีหัวลำโพง,ตลาดนัดจตุจักร,2012-01-18,06:00-09:00,วันหยุดนักขัตฤกษ์,10.0
สยามพารากอน,ศูนย์ราชการแจ้งวัฒนะ,2011-10-10,11:00-13:00,วันหยุดนักขัตฤกษ์,42.0
สยามพารากอน,สถานีขนส่งเอกมัย,2024-12-06,17:00-20:00,วันหยุดนักขัตฤกษ์,30.0
สนามบินสุวรรณภูมิ,เซ็นทรัลเวิลด์,2004-07-03,11:00-13:00,ลอยกระทง,51.0
สยามพารากอน,เซ็นทรัลเวิลด์,2012-07-10,17:00-20:00,ปีใหม่,100.0
สยามพารากอน,ศูนย์ราชการแจ้งวัฒนะ,2002-11-19,06:00-09:00,ปีใหม่,115.0
สยามพารากอน,สถานีหัวลำโพง,2011-02-16,17:00-20:00,ลอยกระทง,65.0
สถานีขนส่งหมอชิต,สถานีหัวลำโพง,2007-12-27,06:00-09:00,ปีใหม่,121.0
สยามพารากอน,สนามบินดอนเมือง,2017-12-07,06:00-09:00,วันธรรมดา,72.0
สนามบินดอนเมือง,ตลาดนัดจตุจักร,2008-06-26,17:00-20:00,ลอยกระทง,67.0
สยามพารากอน,ศูนย์ราชการแจ้งวัฒนะ,2016-08-22,06:00-09:00,สงกรานต์,93.0
สถานีขนส่งหมอชิต,ศูนย์ราชการแจ้งวัฒนะ,2001-10-16,17:00-20:00,สงกรานต์,125.0
ตลาดนัดจตุจักร,สถานีหัวลำโพง,2009-11-22,11:00-13:00,วันหยุดนักขัตฤกษ์,31.0
เซ็นทรัลเวิลด์,สถานีหัวลำโพง,2013-11-19,11:00-13:00,ลอยกระทง,36.0
สถานีขนส่งเอกมัย,สนามบินดอนเมือง,2015-12-19,11:00-13:00,เปิดเทอม,30.0
เซ็นทรัลเวิลด์,สนามบินดอนเมือง,2024-06-06,06:00-09:00,ลอยกระทง,58.0
อนุสาวรีย์ชัยสมรภูมิ,สนามบินสุวรรณภูมิ,2008-11-27,06:00-09:00,เปิดเทอม,73.0
สนามบินดอนเมือง,ตลาดนัดจตุจักร,2007-02-28,17:00-20:00,สงกรานต์,124.0
สนามบินดอนเมือง,เซ็นทรัลเวิลด์,2002-11-10,17:00-20:00,ปีใหม่,66.0
สถานีขนส่งเอกมัย,สถานีหัวลำโพง,2009-05-11,11:00-13:00,วันหยุดนักขัตฤกษ์,32.0
สนามบินสุวรรณภูมิ,สนามบินดอนเมือง,2014-08-11,17:00-20:00,วันธรรมดา,45.0
สถานีหัวลำโพง,เซ็นทรัลเวิลด์,2012-05-30,06:00-09:00,ปิดเทอม,70.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีขนส่งหมอชิต,2004-03-28,17:00-20:00,ลอยกระทง,27.0
อนุสาวรีย์ชัยสมรภูมิ,ศูนย์ราชการแจ้งวัฒนะ,2009-06-17,11:00-13:00,ลอยกระทง,23.0
สถานีขนส่งหมอชิต,สนามบินดอนเมือง,2007-01-20,06:00-09:00,ปิดเทอม,45.0
สถานีขนส่งหมอชิต,สถานีขนส่งเอกมัย,2000-01-27,17:00-20:00,เปิดเทอม,10.0
ตลาดนัดจตุจักร,สถานีหัวลำโพง,2017-05-02,11:00-13:00,ลอยกระทง,39.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีขนส่งหมอชิต,2016-11-22,11:00-13:00,เปิดเทอม,54.0
สถานีขนส่งหมอชิต,เซ็นทรัลเวิลด์,2008-04-04,17:00-20:00,สงกรานต์,92.0
สถานีขนส่งหมอชิต,สถานีขนส่งเอกมัย,2001-05-02,06:00-09:00,วันหยุดนักขัตฤกษ์,8.0
สนามบินดอนเมือง,เซ็นทรัลเวิลด์,2016-06-17,17:00-20:00,สงกรานต์,64.0
สยามพารากอน,ศูนย์ราชการแจ้งวัฒนะ,2010-05-09,11:00-13:00,ลอยกระทง,70.0
เซ็นทรัลเวิลด์,สถานีขนส่งหมอชิต,2013-05-15,11:00-13:00,เปิดเทอม,34.0
อนุสาวรีย์ชัยสมรภูมิ,ตลาดนัดจตุจักร,2014-06-30,11:00-13:00,ลอยกระทง,
เซ็นทรัลเวิลด์,สนามบินสุวรรณภูมิ,2021-11-17,17:00-20:00,วันหยุดนักขัตฤกษ์,72.0
สถานีหัวลำโพง,ศูนย์ราชการแจ้งวัฒนะ,2007-10-30,11:00-13:00,วันธรรมดา,53.0
สนามบินสุวรรณภูมิ,สนามบินดอนเมือง,2001-03-27,06:00-09:00,ปิดเทอม,46.0
สถานีขนส่งหมอชิต,เซ็นทรัลเวิลด์,2023-03-20,17:00-20:00,ลอยกระทง,59.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2021-11-24,11:00-13:00,เปิดเทอม,27.0
สนามบินสุวรรณภูมิ,สยามพารากอน,2013-01-27,06:00-09:00,ลอยกระทง,71.0
สยามพารากอน,สถานีขนส่งหมอชิต,2013-03-28,17:00-20:00,วันหยุดนักขัตฤกษ์,50.0
สถานีขนส่งเอกมัย,เซ็นทรัลเวิลด์,2007-10-27,17:00-20:00,วันหยุดนักขัตฤกษ์,35.0
สยามพารากอน,เซ็นทรัลเวิลด์,2005-04-17,11:00-13:00,ลอยกระทง,43.0
สถานีขนส่งหมอชิต,สนามบินดอนเมือง,2010-10-04,06:00-09:00,วันหยุดนักขัตฤกษ์,63.0
สถานีหัวลำโพง,สถานีขนส่งเอกมัย,2005-06-15,11:00-13:00,ปิดเทอม,24.0
สถานีขนส่งหมอชิต,อนุสาวรีย์ชัยสมรภูมิ,1999-07-28,17:00-20:00,สงกรานต์,114.0
เซ็นทรัลเวิลด์,ตลาดนัดจตุจักร,2017-03-14,17:00-20:00,วันหยุดนักขัตฤกษ์,48.0
ศูนย์ราชการแจ้งวัฒนะ,เซ็นทรัลเวิลด์,2014-03-25,17:00-20:00,วันหยุดนักขัตฤกษ์,58.0
สนามบินดอนเมือง,ศูนย์ราชการแจ้งวัฒนะ,2012-01-02,17:00-20:00,เปิดเทอม,67.0
สยามพารากอน,สถานีขนส่งเอกมัย,2019-04-05,06:00-09:00,ลอยกระทง,50.0
สยามพารากอน,ตลาดนัดจตุจักร,2015-06-06,17:00-20:00,ปิดเทอม,21.0
สยามพารากอน,เซ็นทรัลเวิลด์,2012-10-10,11:00-13:00,ลอยกระทง,57.0
ศูนย์ราชการแจ้งวัฒนะ,ตลาดนัดจตุจักร,2009-11-12,11:00-13:00,ปิดเทอม,24.0
สยามพารากอน,อนุสาวรีย์ชัยสมรภูมิ,2005-05-21,11:00-13:00,วันธรรมดา,33.0
สนามบินสุวรรณภูมิ,สนามบินดอนเมือง,2020-08-05,17:00-20:00,ลอยกระทง,51.0
ตลาดนัดจตุจักร,สยามพารากอน,2014-02-28,11:00-13:00,เปิดเทอม,12.0
สถานีขนส่งเอกมัย,อนุสาวรีย์ชัยสมรภูมิ,2009-04-24,06:00-09:00,วันหยุดนักขัตฤกษ์,57.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีขนส่งหมอชิต,2007-07-18,11:00-13:00,เปิดเทอม,24.0
สนามบินดอนเมือง,สถานีขนส่งหมอชิต,2010-11-22,11:00-13:00,วันหยุดนักขัตฤกษ์,32.0
สยามพารากอน,สนามบินดอนเมือง,2006-01-23,17:00-20:00,เปิดเทอม,55.0
เซ็นทรัลเวิลด์,ศูนย์ราชการแจ้งวัฒนะ,2022-10-01,11:00-13:00,วันหยุดนักขัตฤกษ์,13.0
อนุสาวรีย์ชัยสมรภูมิ,เซ็นทรัลเวิลด์,2015-08-17,11:00-13:00,สงกรานต์,88.0
ตลาดนัดจตุจักร,สถานีหัวลำโพง,2024-03-21,11:00-13:00,ปิดเทอม,38.0
อนุสาวรีย์ชัยสมรภูมิ,สนามบินดอนเมือง,2024-11-23,17:00-20:00,ลอยกระทง,54.0
สถานีขนส่งหมอชิต,ศูนย์ราชการแจ้งวัฒนะ,2008-06-11,17:00-20:00,วันหยุดนักขัตฤกษ์,66.0
สถานีหัวลำโพง,สนามบินดอนเมือง,2014-12-31,11:00-13:00,วันธรรมดา,60.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีหัวลำโพง,2015-01-19,17:00-20:00,สงกรานต์,59.0
สยามพารากอน,สนามบินดอนเมือง,2019-08-28,11:00-13:00,เปิดเทอม,65.0
สนามบินดอนเมือง,ศูนย์ราชการแจ้งวัฒนะ,2012-09-27,06:00-09:00,ลอยกระทง,47.0
สถานีหัวลำโพง,เซ็นทรัลเวิลด์,2022-06-26,17:00-20:00,สงกรานต์,103.0
ตลาดนัดจตุจักร,ศูนย์ราชการแจ้งวัฒนะ,2002-03-04,11:00-13:00,วันธรรมดา,37.0
เซ็นทรัลเวิลด์,สถานีหัวลำโพง,2008-01-08,11:00-13:00,ลอยกระทง,46.0
สถานีขนส่งหมอชิต,สยามพารากอน,2021-04-12,17:00-20:00,วันหยุดนักขัตฤกษ์,55.0
ตลาดนัดจตุจักร,สนามบินดอนเมือง,2002-03-04,11:00-13:00,ลอยกระทง,36.0
สถานีหัวลำโพง,สถานีขนส่งเอกมัย,2013-06-21,11:00-13:00,ลอยกระทง,39.0
สถานีขนส่งหมอชิต,สนามบินดอนเมือง,2013-05-30,11:00-13:00,วันธรรมดา,51.0
เซ็นทรัลเวิลด์,อนุสาวรีย์ชัยสมรภูมิ,2021-10-23,11:00-13:00,ปิดเทอม,72.0
สถานีหัวลำโพง,ตลาดนัดจตุจักร,2007-09-12,17:00-20:00,ปีใหม่,90.0
สถานีหัวลำโพง,อนุสาวรีย์ชัยสมรภูมิ,2022-10-17,17:00-20:00,สงกรานต์,87.0
อนุสาวรีย์ชัยสมรภูมิ,ตลาดนัดจตุจักร,2010-11-27,06:00-09:00,ปีใหม่,48.0
ตลาดนัดจตุจักร,สนามบินดอนเมือง,2004-08-27,11:00-13:00,วันธรรมดา,21.0
ศูนย์ราชการแจ้งวัฒนะ,อนุสาวรีย์ชัยสมรภูมิ,2012-11-17,11:00-13:00,เปิดเทอม,23.0
สถานีขนส่งเอกมัย,ตลาดนัดจตุจักร,2000-05-20,06:00-09:00,เปิดเทอม,63.0
สนามบินสุวรรณภูมิ,ตลาดนัดจตุจักร,2013-06-03,17:00-20:00,ปิดเทอม,33.0
เซ็นทรัลเวิลด์,สยามพารากอน,2021-12-18,17:00-20:00,ปิดเทอม,41.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งเอกมัย,2007-01-29,06:00-09:00,วันธรรมดา,42.0
สนามบินสุวรรณภูมิ,สถานีหัวลำโพง,2008-02-03,11:00-13:00,ปิดเทอม,62.0
สถานีหัวลำโพง,สถานีขนส่งหมอชิต,2015-09-20,06:00-09:00,วันธรรมดา,57.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2018-09-06,06:00-09:00,เปิดเทอม,42.0
สยามพารากอน,สนามบินดอนเมือง,2023-02-27,06:00-09:00,ลอยกระทง,38.0
สถานีหัวลำโพง,สถานีขนส่งหมอชิต,2015-09-03,06:00-09:00,เปิดเทอม,90.0
สนามบินดอนเมือง,สถานีหัวลำโพง,2006-07-20,11:00-13:00,เปิดเทอม,11.0
ศูนย์ราชการแจ้งวัฒนะ,เซ็นทรัลเวิลด์,1999-03-17,17:00-20:00,วันหยุดนักขัตฤกษ์,29.0
สถานีขนส่งเอกมัย,ศูนย์ราชการแจ้งวัฒนะ,1999-08-30,17:00-20:00,ปีใหม่,121.0
สนามบินสุวรรณภูมิ,สยามพารากอน,2010-05-06,17:00-20:00,วันธรรมดา,28.0
สนามบินสุวรรณภูมิ,สถานีหัวลำโพง,2015-06-04,17:00-20:00,ปิดเทอม,27.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีขนส่งหมอชิต,2018-01-17,06:00-09:00,สงกรานต์,76.0
ตลาดนัดจตุจักร,สถานีขนส่งเอกมัย,2023-12-14,11:00-13:00,สงกรานต์,83.0
สถานีขนส่งเอกมัย,สนามบินสุวรรณภูมิ,2016-10-23,11:00-13:00,สงกรานต์,103.0
สนามบินสุวรรณภูมิ,สถานีขนส่งหมอชิต,2023-11-06,06:00-09:00,ปีใหม่,115.0
สยามพารากอน,สถานีขนส่งเอกมัย,2021-09-22,11:00-13:00,ปิดเทอม,40.0
ศูนย์ราชการแจ้งวัฒนะ,อนุสาวรีย์ชัยสมรภูมิ,2017-05-09,06:00-09:00,วันหยุดนักขัตฤกษ์,45.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2000-12-07,17:00-20:00,วันธรรมดา,56.0
ศูนย์ราชการแจ้งวัฒนะ,อนุสาวรีย์ชัยสมรภูมิ,2000-05-17,17:00-20:00,ปิดเทอม,33.0
สนามบินสุวรรณภูมิ,อนุสาวรีย์ชัยสมรภูมิ,2020-03-10,11:00-13:00,ปิดเทอม,50.0
สถานีขนส่งหมอชิต,สยามพารากอน,2024-05-19,17:00-20:00,วันธรรมดา,24.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2012-04-28,06:00-09:00,เปิดเทอม,85.0
สถานีขนส่งเอกมัย,สนามบินดอนเมือง,2012-08-13,06:00-09:00,สงกรานต์,62.0
ตลาดนัดจตุจักร,ศูนย์ราชการแจ้งวัฒนะ,2024-06-16,06:00-09:00,เปิดเทอม,36.0
ศูนย์ราชการแจ้งวัฒนะ,สนามบินสุวรรณภูมิ,2009-10-14,11:00-13:00,ปิดเทอม,17.0
เซ็นทรัลเวิลด์,สยามพารากอน,2021-11-26,11:00-13:00,ปิดเทอม,70.0
สถานีหัวลำโพง,สนามบินดอนเมือง,2005-11-03,17:00-20:00,เปิดเทอม,46.0
สถานีขนส่งเอกมัย,เซ็นทรัลเวิลด์,2022-01-02,11:00-13:00,ปิดเทอม,49.0
